bitmapCompression,metricCompression,queryType,timeMS
roaring,lz4,TopN,370
roaring,lz4,TopN,361
roaring,lz4,TopN,353
roaring,lz4,TopN,355
roaring,lz4,TopN,355
roaring,lz4,TopN,362
roaring,lz4,TopN,359
roaring,lz4,TopN,363
roaring,lz4,TopN,368
roaring,lz4,TopN,363
roaring,lz4,TopN,370
roaring,lz4,TopN,371
roaring,lz4,TopN,364
roaring,lz4,TopN,369
roaring,lz4,TopN,358
roaring,lz4,TopN,357
roaring,lz4,TopN,356
roaring,lz4,TopN,368
roaring,lz4,TopN,354
roaring,lz4,TopN,355
roaring,lz4,TopN,358
roaring,lz4,TopN,358
roaring,lz4,TopN,356
roaring,lz4,TopN,378
roaring,lz4,TopN,362
roaring,lz4,TopN,365
roaring,lz4,TopN,354
roaring,lz4,TopN,373
roaring,lz4,TopN,358
roaring,lz4,TopN,361
roaring,lz4,TopN,361
roaring,lz4,TopN,358
roaring,lz4,TopN,359
roaring,lz4,TopN,360
roaring,lz4,TopN,358
roaring,lz4,TopN,372
roaring,lz4,TopN,357
roaring,lz4,TopN,366
roaring,lz4,TopN,359
roaring,lz4,TopN,352
roaring,lz4,TopN,353
roaring,lz4,TopN,357
roaring,lz4,TopN,358
roaring,lz4,TopN,356
roaring,lz4,TopN,356
roaring,lz4,TopN,356
roaring,lz4,TopN,360
roaring,lz4,TopN,401
roaring,lz4,TopN,355
roaring,lz4,TopN,356
roaring,lz4,TopN,366
roaring,lz4,TopN,356
roaring,lz4,TopN,356
roaring,lz4,TopN,357
roaring,lz4,TopN,356
roaring,lz4,TopN,355
roaring,lz4,TopN,356
roaring,lz4,TopN,353
roaring,lz4,TopN,373
roaring,lz4,TopN,359
roaring,lz4,TopN,356
roaring,lz4,TopN,358
roaring,lz4,TopN,359
roaring,lz4,TopN,360
roaring,lz4,TopN,354
roaring,lz4,TopN,357
roaring,lz4,TopN,353
roaring,lz4,TopN,367
roaring,lz4,TopN,362
roaring,lz4,TopN,355
roaring,lz4,TopN,356
roaring,lz4,TopN,359
roaring,lz4,TopN,355
roaring,lz4,TopN,355
roaring,lz4,TopN,360
roaring,lz4,TopN,355
roaring,lz4,TopN,367
roaring,lz4,TopN,356
roaring,lz4,TopN,356
roaring,lz4,TopN,360
roaring,lz4,TopN,358
roaring,lz4,TopN,355
roaring,lz4,TopN,356
roaring,lz4,TopN,354
roaring,lz4,TopN,365
roaring,lz4,TopN,362
roaring,lz4,TopN,364
roaring,lz4,TopN,354
roaring,lz4,TopN,363
roaring,lz4,TopN,354
roaring,lz4,TopN,354
roaring,lz4,TopN,356
roaring,lz4,TopN,364
roaring,lz4,TopN,361
roaring,lz4,TopN,353
roaring,lz4,TopN,361
roaring,lz4,TopN,362
roaring,lz4,TopN,361
roaring,lz4,TopN,355
roaring,lz4,TopN,363
