System Time,RDTSC,Elapsed Time (sec),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,Package Power Limit_0(Watt),GT Frequency(MHz)
11:38:56.355,27394054875880,0.129132, 1700,   5.412,   0.556,   0.154,   0.457,   0.047,   0.013, 63,0,47,  750
11:38:56.454,27394302408420,0.228374, 1700,   5.858,   1.137,   0.316,   0.814,   0.128,   0.035, 63,0,47,  750
11:38:56.552,27394546340891,0.326173, 2800,   9.607,   2.077,   0.577,   2.460,   0.368,   0.102, 64,0,47,  750
11:38:56.656,27394806110755,0.430321, 1700,   6.500,   2.754,   0.765,   0.991,   0.471,   0.131, 64,0,47,  750
11:38:56.754,27395049680020,0.527974, 1700,   5.468,   3.288,   0.913,   0.474,   0.518,   0.144, 64,0,47,  750
11:38:56.855,27395302832250,0.629469,  800,   4.652,   3.760,   1.044,   0.285,   0.547,   0.152, 63,0,47,  750
11:38:56.952,27395544900345,0.726521, 1700,   4.724,   4.218,   1.172,   0.282,   0.574,   0.159, 63,0,47,  750
11:38:57.051,27395791635420,0.825444, 1700,   6.718,   4.883,   1.356,   1.071,   0.680,   0.189, 63,0,47,  750
11:38:57.152,27396043333179,0.926290, 3300,  22.679,   7.170,   1.992,  11.662,   1.856,   0.516, 66,0,47,  750
11:38:57.253,27396295399466,1.027350, 3100,  16.314,   8.819,   2.450,   6.190,   2.482,   0.689, 66,0,47,  750
11:38:57.351,27396540290518,1.125533, 3300,  17.082,  10.496,   2.915,   6.686,   3.138,   0.872, 66,0,47,  750
11:38:57.452,27396792764400,1.226756, 1700,  11.436,  11.653,   3.237,   3.729,   3.516,   0.977, 64,0,47,  750
11:38:57.553,27397045094285,1.327922, 1700,   6.411,  12.302,   3.417,   1.051,   3.622,   1.006, 63,0,47,  750
11:38:57.654,27397295371852,1.428265, 2500,  14.726,  13.780,   3.828,   5.195,   4.143,   1.151, 65,0,47,  750
11:38:57.754,27397545030274,1.528359, 3500,  27.116,  16.494,   4.582,  14.896,   5.634,   1.565, 69,0,47,  750
11:38:57.855,27397797183572,1.629454, 2800,  15.779,  18.089,   5.025,   5.679,   6.208,   1.725, 67,0,47,  750
11:38:57.955,27398047211245,1.729696, 1700,  16.428,  19.736,   5.482,   6.260,   6.836,   1.899, 66,0,47,  750
11:38:58.053,27398290904014,1.827399, 3500,  16.803,  21.377,   5.938,   6.415,   7.463,   2.073, 70,0,47,  750
11:38:58.151,27398536172032,1.925733, 3500,  23.851,  23.723,   6.590,  11.993,   8.642,   2.401, 72,0,47,  750
11:38:58.252,27398786649771,2.026157, 3500,  20.928,  25.824,   7.173,   9.764,   9.622,   2.673, 71,0,47,  750
11:38:58.353,27399039822091,2.127660, 3500,  19.294,  27.783,   7.717,   8.226,  10.457,   2.905, 70,0,47,  750
